peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,diff_adj
PEP-0034,7,0,1,0,0,11205,100.0,0.2568,25.2367545245552,0.5136,12.3985,810.300944981755,146.682491177693,43.6360229593018,5,1,513.5999999999999,43.6360229593018,5,654.5403443895269,140.940344389527
PEP-0054,11,0,1,0,1,17816,0.92361,0.275,16.2797271457051,0.5079855,9.04783333333333,717.1230888202,93.4154944839756,20.565681369345,5,4,507.9855,20.565681369345,5,308.485220540175,-199.50027945982495
PEP-0109,12,0,2,0,0,21587,0.95235,0.266517857142857,14.2063444768537,0.5076365625,11.6328333333333,1376.77214619387,174.987426183361,27.020494770519505,5,4,507.6365625,27.020494770519505,5,405.3074215577925,-102.32914094220752
PEP-0169,12,0,1,1,1,29054,0.97417,0.26015625,6.41944476159028,0.506872828125,,,205.594962237898,25.9796254897074,5,5,506.872828125,25.9796254897074,5,389.69438234561096,-117.17844577938904
PEP-0149,7,0,1,2,0,21485,0.95421,0.2643,17.7821181464242,0.504395406,12.0236666666667,891.315495120324,294.805929017195,45.7382559952207,5,4,504.395406,45.7382559952207,5,686.0738399283105,181.67843392831048
PEP-0341,13,0,0,1,2,27529,0.9661,0.251207143,12.92,0.502414286,9.3135,608.099931882508,196.016955280618,29.4598426861172,5,6,502.41428600000006,29.4598426861172,5,441.897640291758,-60.516645708242095
PEP-0090,8,0,0,1,0,12161,0.74571,0.331166666666667,14.4082967817691,0.49390859,10.5828333333333,483.178535025798,66.1532652166425,18.1326275845305,5,4,493.90859,18.1326275845305,5,271.9894137679575,-221.9191762320425
PEP-0062,8,0,0,0,2,12091,0.8302,0.297125,12.8554570286815,0.49334635,7.529,200.487388913847,72.1700515632692,35.6871144554563,5,4,493.34635,35.6871144554563,5,535.3067168318446,41.960366831844624
PEP-0239,13,0,0,1,0,22135,1.0,0.244546875,11.6439522747338,0.48909375,10.2978333333333,569.265281661567,148.160616524226,22.3116657667685,5,5,489.09375,22.3116657667685,5,334.6749865015275,-154.41876349847252
PEP-0301,17,0,0,0,1,18267,0.53261,0.243265625,14.85024949,0.48653125,10.3293333333333,532.168370932195,104.580838298658,22.3577985074949,5,6,486.53125,22.3577985074949,5,335.36697761242345,-151.16427238757657
PEP-0137,8,0,1,0,0,12368,0.99349,0.244375,13.4848739218123,0.4855682375,10.4015,603.457468714351,133.100467365512,35.8722691261081,5,4,485.5682375,35.8722691261081,5,538.0840368916215,52.5157993916215
PEP-0141,9,0,0,2,0,18060,0.77576,0.312,10.7557006351909,0.48407424,11.2896666666667,906.963683205015,214.180354659708,39.5312577814152,5,4,484.07424,39.5312577814152,5,592.968866721228,108.894626721228
PEP-0153,9,0,0,3,0,23334,0.75291,0.319416666666667,15.8465790342366,0.480984005,12.6591666666667,835.921336020217,219.019051836571,31.2875420468802,5,4,480.984005,31.2875420468802,5,469.313130703203,-11.670874296796969
PEP-0136,8,0,1,0,0,12149,0.89099,0.2697,16.0781291799898,0.480600006,9.91516666666667,714.999471588858,154.407335695563,42.3648957926752,5,4,480.600006,42.3648957926752,5,635.473436890128,154.87343089012802
PEP-0051,8,0,1,2,0,27633,97.077,0.246375,16.710914762482,0.4783469175,10.4641666666667,1245.16136265808,235.561582542548,28.4154914465251,5,1,478.3469175,28.4154914465251,5,426.2323716978765,-52.11454580212353
PEP-0095,8,0,0,1,1,14726,0.85755,0.278035714285714,12.2081792553178,0.476859053571429,10.5401666666667,512.285554932092,64.9338405256203,17.9608443353582,5,4,476.859053571429,17.9608443353582,5,269.412665030373,-207.446388541056
PEP-0288,16,0,0,0,0,24920,0.8379,0.237214286,8.88243279,0.474428572,11.2225,1333.44484779647,183.927107559663,24.6023418351609,5,6,474.428572,24.6023418351609,5,369.0351275274135,-105.39344447258652
PEP-0348,13,0,2,0,1,25194,0.80172,0.237,13.02,0.474,10.1003333333333,738.825816106524,175.60655000119,25.9938348359445,5,6,474.0,25.9938348359445,5,389.90752253916753,-84.09247746083247
