peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0161,11,0,1,2,0,25445,0.98009,0.130642857142857,12.8073335832729,0.256083515714286,14.3058333333333,708.785815937084,159.987722236081,20.9586326372019,5,4,256.083515714286,20.9586326372019,5,314.3794895580285,0.98009,58.2959738437425,285.2315026361573,1.2276443826582877,22.764438265828748,20.43812598011137,0.2958927091799538,22.764438265828748
PEP-0199,12,0,1,0,1,18768,0.95978,0.132642857142857,13.3502856173705,0.254615922857143,10.0715,553.027477954639,83.7567953522521,17.3484942422693,5,5,254.615922857143,17.3484942422693,5,260.2274136340395,0.95978,5.611490776896517,257.42166824559126,1.02203904105418,2.203904105418005,2.179882841697271,0.0314503070969345,2.203904105418005
PEP-0295,17,0,0,1,1,24053,0.55639,0.127258929,13.41733763,0.254517858,11.8466666666667,751.095484750999,120.996939173638,18.8662704920382,5,6,254.517858,18.8662704920382,5,282.994057380573,0.55639,28.476199380573007,268.7559576902865,1.1118829130668426,11.188291306684269,10.595560234385164,0.153004872925077,11.188291306684269
PEP-0173,11,0,0,0,0,9673,0.97548,0.12975,14.2529803536854,0.25313706,10.6616666666667,301.645562166456,38.1017913062533,13.1299463476527,5,5,253.13706,13.1299463476527,5,196.9491952147905,0.97548,-56.18786478520951,225.0431276073953,0.7780338256863317,-22.19661743136683,-24.967598603247943,-0.3620952159109903,-22.19661743136683
PEP-0315,16,0,0,2,1,27552,0.91912,0.126041667,14.70147726,0.252083334,11.8308333333333,751.158588843493,171.236621021875,22.9444360951716,5,6,252.083334,22.9444360951716,5,344.166541427574,0.91912,92.083207427574,298.1249377137869,1.3652887557714308,36.52887557714308,30.88745548551793,0.4492061104585109,36.52887557714308
PEP-0254,13,0,0,0,0,22109,0.89709,0.137625,7.75107381530207,0.2469240225,,,138.869615949152,20.9371170035057,5,5,246.9240225,20.9371170035057,5,314.0567550525855,0.89709,67.13273255258551,280.4903887762928,1.2718760688931572,27.187606889315724,23.93405807787864,0.3469581018299582,27.187606889315724
PEP-0043,8,0,0,4,0,27560,93.423,0.13185,13.4031185210678,0.246356451,14.8453333333333,967.218966451605,151.018414190039,18.2654105212916,5,1,246.356451,18.2654105212916,5,273.981157819374,93.423,27.62470681937401,260.168804409687,1.1121330767156328,11.213307671563271,10.617993530028862,0.1533294298155854,11.213307671563271
PEP-0178,11,0,0,0,0,14751,0.95117,0.12890625,11.6178640825335,0.245223515625,10.9953333333333,208.462879598244,70.9885537505324,16.0415234561572,5,5,245.223515625,16.0415234561572,5,240.622851842358,0.95117,-4.600663782641988,242.92318373367905,0.9812388963965536,-1.8761103603446423,-1.8938759619113903,-0.027323671299443,-1.8761103603446423
PEP-0241,13,0,1,0,3,30111,1.0,0.1224,9.97853087540309,0.2448,11.0288333333333,406.011127806946,96.318525757888,14.5368899993794,5,5,244.8,14.5368899993794,5,218.05334999069095,1.0,-26.746650009309008,231.42667499534548,0.8907408087855024,-10.925919121449756,-11.5572891542632,-0.1669224030715754,-10.925919121449756
PEP-0242,12,0,0,1,0,21035,0.90967,0.132625,12.5438955393573,0.2412899675,,,62.1050448476526,9.84154105818122,5,5,241.2899675,9.84154105818122,5,147.6231158727183,0.90967,-93.66685162728172,194.4565416863592,0.6118079313542876,-38.81920686457124,-48.16852691865614,-0.7088492850632826,-38.81920686457124
